English,Vietnamese
"Spondyloarthritis (A18.0), occipital - axial region",
Imaging abnormalities of other parts of the gastrointestinal tract,
Other extensor tendon and extensor muscles in the forearm,
Cervical femoral nerve syndrome,
prosthesis after vertebral fixation (M96.0),
"Burn and erosion, only on the ankles and feet (T25.-)",
Artery rupture due to trauma see vascular injury,
Lesion of peroneal nerve in the lower leg,
Plasmodium malariae with other Plasmodium species except Plasmodium falciparum and Plasmodium vivax,
"Psoriatic arthritis with distal interphalangeal joint involvement (L40.5), many sites",
Food-induced dermatitis (L27.2),
"Scoliosis due to abnormal thoracic, sacral, and sacral regions",
Fetal and neonatal hemolytic disease,
"Prolonged personality changes, which cannot regulate a lesion or encephalopathy",
"Severe vulvar dysplasia, unclassified elsewhere",
General worker injuries in tra tra tra traffic accident,
Malignant tumors of the salivary gland,
Vaccination against tetanus,
"None, atrophy and congenital anal atresia without fistula",
- Women with tuberculosis pelvic inflammatory disease - (N74.1 *),
"Injured briders when crashing a motor, half-bus, and mild motor: Injured people when up or down the motor.",
"Follow-up care related to reconstructive surgery, unknown",
"Maternal death due to unknown causes occur during pregnancy, during labor, delivery, and postpartum",
3rd degree erosion of the wrist and hand,
"Lesion sequelae were classified as S73-S83.-, S93.- and T13.2",
food deficiency is the cause of food deficiency.,
Traumatic nerve and spinal cord injury,
"Injured motor vehicle drivers when crashing cone vehicle, half-bus, or mild motor vehicle: Injured drivers in non-cycling accidents",
"Joint disease in ulcerative colitis (K51.-), unidentified location",
Other definitive disorder of carbohydrates metabolism,
"Neuromuscular dysfunction, unclassified elsewhere",
The habit of excess alcohol use or mental effects (F10-F19),
Osteoporosis due to malabsorption after surgery with pathologic fracture,
"The lack of synchronization between personal sleep awakening and desired sleep awakening to the personal environment, resulting in complaints of insomnia or heavy sleep.",
Acne-like tumor of the oral mucosa,
"Gastric and duodenal ulcers, unidentified position (or hemorrhage)",
Malignant tumors with invasive lesions of the lip,
"Myositis in other classified infections, the lower leg",
Combined conditions were classified from O99.0 - O99.7,
"When children or adults have severe weight loss, or children do not gain weight leading to standard deviation weight (or a similar weight loss expressed by other statistical methods) When only a data of a weight measured with weight less than the average value of the reference population from 2 - 3 standard deviation, there is a high probability of moderate energy protein malnutrition.",
J17 * Pneumonia in diseases that have been classified elsewhere,
"Other forms of scoliosis, neck and back region",
"Upper respiratory tract disease, nonspecific",
Psychiatric and behavioral disorders due to use of hallucinogens (complicated psychiatric disorder and onset),
Anal and rectal fistula,
Perinatal pulmonary hemorrhage,
Other identified disorders of the parathyroid gland,
"Tumor specialized screening, undefined",
"This study requires a combination of behavioral disorders in children (F91.-) with marked and prolonged emotional symptoms such as anxiety, obsessions or obsessions, personality dissociation or misconceptions, fear or suspicion.",
"Injuries in unidentified motor vehicle crashes, not traffic accidents",
"Dementia develops during HIV disease, while no other disorders or disorders accompany HIV infection so that clinical features can be explained.",
The waiting phase for testing and treatment,
treatment to delay labor (O42.2),
Chagas disease (chronic) affects the nervous system,
"Malignant tumors of the subacute salivary gland are identified, classified based on anatomical region.",
"Exposure to other venomous injuries, identification",
Personal history of gastrointestinal diseases,
Vaginal fistula into the small bowel,
Specific developmental disorders related to learning (F81.-),
"Shock (endotoxin) (hypovolemia)  during or after surgery, procedures",
Other specific congenital anomalies of the skull and face,
- Decreased plasma pro thromboplastin,
"Chronic nephritis, disseminated intravascular proliferative glomerulonephritis",
Car carer injury in other traffic accidents and unidentified,
Other neurologic diseases,
Delivery during or after 37 weeks,
Effects of air pressure and water pressure not determined,
Organic toxicity,
Hyperactivity disorder associated with behavior disorder (F90.1),
"Metal from all sources, except medicinal substances",
Neonatal jaundice due to maternal blood ingestion,
insuline-dependent diabetes mellitus (with renal complications),
Intraventricular hemorrhage (nontraumatic) grade 1 of the fetus and neonate,
Examination to enter the residence site,
Other renal and ureteral changes in other diseases classified elsewhere,
"Flat back syndrome, multiple spine sites",
Heart murmurs and other heart sounds,
"Cutaneous joint disease (E85.-), scapular region",
Other lesions of the lumbar spine,
Influenza and other acute respiratory infections (J00-J22),
Alcohol in the blood is unknown,
Labor and delivery complicated by umbilical cord wraping other parts of the fetus,
Inappropriate position of parents and abnormal education patterns,
Diseases caused by degenerative and vascular diseases of ear,
Non-Hodgkin lymphoma mixed small-diffuse large ( diffuse) small-cell- large ( diffuse) small-cell mixed non-hodgkin,
Application and correction of orthodontic instruments,
Malignant tumors in other sites and are unclear of the respiratory and intrathoracic organs,
house or a arch (W20),
"Acute skin changes due to ultraviolet, atypical",
+ There was a definitive morphological lesion (N02.-),
Hyperuricemia without manifestations of arthritis and calculous disease,
Complications of introducing fertilization in in vitro fertilization,
Blood alcohol level at 60 - 79mg/100ml,
Displaced meniscus due to rupture or old injury of unidentified ligament or unidentified meniscus,
Lesion sequelae classified as S00-,
"Vertebral stenosis in diseases classified elsewhere, occipital - axial",
Fet and neonates affected by premature rupture rupture of membranes,
"Other typical abnormalities of the spine are identified, sacral, and sacral regions",
"The ossification of the adult spine, thoracolumbar region",
People who have all-domestic or other motor vehicles designed primitively for using outside of traffic accident in traffic accident,
"Superficial lesions involving the chest and abdomen, lower back and pelvis",
The specificity of  medicine or medicine appropriate to use correctly,
dehydration as a cause of dehydration:,
Specific disorder of speech and language development (F80.-),
"Exposure to spines, spines, sharp leaves",
"falls from, out of or through:",
Other unidentified air traffic accidents,
"Herniated umbilical hernia with obstructed, necrotic",
+ pneumonia confirmed bacteria with or without sputum culture,
Congenital hypothyroidism with or without goiter (E03.0-E03.1),
Gout disease due to renal dysfunction,
"any condition in I50.-, I51.4 - I51.9 due to hypertension",
"Toxicity Other hypothermic nonopioid analgesics, unclassified elsewhere",
Burns at unidentified body,
Renal vein thrombosis and thrombosis,
